route_id,agency_id,route_short_name,route_long_name,route_type
"10-401-e19-1","01","401","Parkmore Industrial Estate - Dr Mannix Rd (Rockbarton Rd)","3"
"10-401-e20-1","01","401","Parkmore Industrial Estate - Dr Mannix Rd (Rockbarton Rd)","3"
"10-402-e19-1","01","402","Shangort Rd (Cotters Shop) - Merlin Park Terminus (Merlin Church)","3"
"10-402-e20-1","01","402","Shangort Rd (Cotters Shop) - Merlin Park Terminus (Merlin Church)","3"
"10-404-e19-1","01","404","Oranmore (Opp Oran Town Centre) - Westside (Shopping Centre)","3"
"10-404-e20-1","01","404","Oranmore (Opp Oran Town Centre) - Westside (Shopping Centre)","3"
"10-405-e19-1","01","405","Gort na Bro (B&Q Retail Park) - Ballybane Industrial Estate","3"
"10-405-e20-1","01","405","Gort na Bro (B&Q Retail Park) - Ballybane Industrial Estate","3"
"10-407-e19-1","01","407","Eyre Square Galway - Bothair an Choiste (Opp Maigh Riocard)","3"
"10-407-e20-1","01","407","Eyre Square Galway - Bothair an Choiste (Opp Maigh Riocard)","3"
"10-409-e19-1","01","409","Eyre Square Galway - Parkmore Industrial Estate","3"
"10-409-e20-1","01","409","Eyre Square Galway - Parkmore Industrial Estate","3"
"10-40-e19-1","01X","40","Tralee Bus Station - Rosslare Harbour","3"
"10-40-e20-1","01X","40","Tralee Bus Station - Rosslare Harbour","3"
"10-417-e19-1","01","417","Galway Bus Station - Ballinastack (Opp Gills Bar)","3"
"10-417-e20-1","01","417","Galway Bus Station - Ballinastack (Opp Gills Bar)","3"
"10-419-e19-1","01","419","Galway Bus Station - Clifden (Market Street)","3"
"10-419-e20-1","01","419","Galway Bus Station - Clifden (Market Street)","3"
"10-420-e19-1","01","420","Ballina Bus Station - Stephen Garvey Way Castlebar","3"
"10-420-e20-1","01","420","Ballina Bus Station - Stephen Garvey Way Castlebar","3"
"10-421-e19-1","01","421","Ballina Bus Station - Claremorris Dalton Street","3"
"10-421-e20-1","01","421","Ballina Bus Station - Claremorris Dalton Street","3"
"10-422-e19-1","01","422","Stephen Garvey Way Castlebar - Headford","3"
"10-422-e20-1","01","422","Stephen Garvey Way Castlebar - Headford","3"
"10-423-e19-1","01","423","Clifden (Market Street) - Westport Railway Station","3"
"10-423-e20-1","01","423","Clifden (Market Street) - Westport Railway Station","3"
"10-424-e19-1","01","424","Galway Bus Station - Lettermullen","3"
"10-424-e20-1","01","424","Galway Bus Station - Lettermullen","3"
"10-425-e19-1","01","425","Galway Bus Station - Outside Train Station","3"
"10-425-e20-1","01","425","Galway Bus Station - Outside Train Station","3"
"10-429-e19-1","01","429","Galway Bus Station - BMW Office","3"
"10-429-e20-1","01","429","Galway Bus Station - BMW Office","3"
"10-434-e19-1","01","434","Galway Bus Station - Market Square Gort","3"
"10-434-e20-1","01","434","Galway Bus Station - Market Square Gort","3"
"10-440-e19-1","01","440","Athlone Bus Station - Westport (Mill St Westbound Stop)","3"
"10-440-e20-1","01","440","Athlone Bus Station - Westport (Mill St Westbound Stop)","3"
"10-442-e20-1","01","442","Charlestown Rooney's - Roundfort","3"
"10-443-e19-1","01","443","Ballina (Dunnes Stores) - Farragh Cross","3"
"10-443-e20-1","01","443","Ballina (Dunnes Stores) - Farragh Cross","3"
"10-444-e19-1","01","444","Ballina Bus Station - Dromore West","3"
"10-444-e20-1","01","444","Ballina Bus Station - Dromore West","3"
"10-445-e19-1","01","445","Ballina Bus Station - Ballycastle","3"
"10-445-e20-1","01","445","Ballina Bus Station - Ballycastle","3"
"10-446-e19-1","01","446","Ballina Bus Station - Blacksod","3"
"10-446-e20-1","01","446","Ballina Bus Station - Blacksod","3"
"10-447-e19-1","01","447","Finea Village (Bridge Southbound) - Mullingar Austin Friar Street","3"
"10-447-e20-1","01","447","Finea Village (Bridge Southbound) - Mullingar Austin Friar Street","3"
"10-448-e19-1","01","448","Shandonagh - Mullingar Castle Street","3"
"10-448-e20-1","01","448","Shandonagh - Mullingar Castle Street","3"
"10-450-e19-1","01","450","Dooagh (The Pub) - Louisburgh (Hudson's Pantry)","3"
"10-450-e20-1","01","450","Dooagh (The Pub) - Louisburgh (Hudson's Pantry)","3"
"10-451-e19-1","01","451","Ballina Bus Station - Outside Train Station","3"
"10-451-e20-1","01","451","Ballina Bus Station - Outside Train Station","3"
"10-454-e19-1","01","454","Ballina Bus Station - Westport (Mill St Westbound Stop)","3"
"10-454-e20-1","01","454","Ballina Bus Station - Westport (Mill St Westbound Stop)","3"
"10-455-e20-1","01","455","Moygownagh Chapel - Moygownagh Chapel","3"
"10-456-e19-1","01","456","Stephen Garvey Way Castlebar - Galway Bus Station","3"
"10-456-e20-1","01","456","Stephen Garvey Way Castlebar - Galway Bus Station","3"
"10-457-e19-1","01","457","Castlerea - Roscommon (Opp Hospital Keenans Shop)","3"
"10-457-e20-1","01","457","Castlerea - Roscommon (Opp Hospital Keenans Shop)","3"
"10-458-e19-1","01","458","Ulsterbus Depot Enniskillen - Ballina Bus Station","3"
"10-458-e20-1","01","458","Ulsterbus Depot Enniskillen - Ballina Bus Station","3"
"10-460-e19-1","01","460","Sligo Bus Station - Castlerea Depot Railway Station","3"
"10-460-e20-1","01","460","Sligo Bus Station - Castlerea Depot Railway Station","3"
"10-461-e19-1","01","461","Athlone Bus Station - Roscommon Mart Road","3"
"10-461-e20-1","01","461","Athlone Bus Station - Roscommon Mart Road","3"
"10-462-e19-1","01","462","Carrigallen - Sligo Bus Station","3"
"10-462-e20-1","01","462","Carrigallen - Sligo Bus Station","3"
