from_stop_id,to_stop_id,transfer_type,min_transfer_time
"8380B2163601","8380B2115701","2","0"
"8380B2163601","8380B244721","2","240"
"8380B2115701","8380B2163601","2","0"
"8380B2115701","8380B244721","2","240"
"8380B2315201","8380B231321","2","360"
"8380B2315201","8380B2313701","2","360"
"8380B2309001","8380B236391","2","120"
"8380B230581","8380B235711","2","180"
"8380B230581","8380B611451","2","60"
"8380B230581","8380B235701","2","180"
"8380B2310001","8380B215561","2","360"
"8380B2319501","8380B215161","2","120"
"8380B2319701","8380B235071","2","0"
"8380B2320301","8380B235131","2","60"
"8380B2316801","8380B235061","2","120"
"8380B2316601","8380B237341","2","60"
"8380B2318201","8380B235211","2","60"
"8380B2361101","8380B235091","2","540"
"8380B2529501","8380B215461","2","120"
"8380B2533301","8380B255651","2","60"
"8380B2502301","8380B215191","2","240"
"8380B2502301","8380B214981","2","240"
"8380B2345101","8380B234421","2","120"
"8380B2348601","8380B236401","2","60"
"8380B2356701","8380B611431","2","120"
"8380B2360101","8380B235171","2","60"
"8380B2356501","8380B235691","2","120"
"8380B2356501","8380B235761","2","120"
"8380B2356501","8380B235801","2","120"
"8380B2356601","8380B215891","2","0"
"8380B215891","8380B2356601","2","0"
"8380B2360701","8380B215381","2","300"
"8380B2360601","8380B215261","2","60"
"8380B2349301","8380B215431","2","60"
"8370B240491","8370B2132301","2","240"
"8370B240491","8370B243491","2","0"
"8370B240491","8370B241201","2","0"
"8370B240491","8370B240181","2","360"
"8370B240491","8370B2550201","2","420"
"8370B240491","8370B240171","2","0"
"8370B240491","8370B299001","2","240"
"8370B240491","8370B2404701","2","720"
"8370B2138001","8370B2405701","2","150"
"8370B2138001","8370B240081","2","120"
"8370B2138001","8370B2405801","2","120"
"8370B2132301","8370B240491","2","240"
"8370B2132301","8370B243491","2","240"
"8370B2132301","8370B241201","2","240"
"8370B2132301","8370B240181","2","540"
"8370B2132301","8370B2550201","2","180"
"8370B2132301","8370B240171","2","240"
"8370B2132301","8370B299001","2","0"
"8370B2132301","8370B2404701","2","600"
"8370B243491","8370B240491","2","0"
"8370B243491","8370B2132301","2","240"
"8370B243491","8370B241201","2","0"
"8370B243491","8370B240181","2","360"
"8370B243491","8370B2550201","2","420"
"8370B243491","8370B240171","2","0"
"8370B243491","8370B299001","2","240"
"8370B243491","8370B2404701","2","720"
"8370B241201","8370B240491","2","0"
"8370B241201","8370B2132301","2","240"
"8370B241201","8370B243491","2","0"
"8370B241201","8370B240181","2","360"
