service_id,date,exception_type
"TA+b001u","20211229","2"
"TA+b001u","20211230","2"
"TA+b001u","20211231","2"
"TA+b001u","20220103","2"
"TA+b001u","20220317","2"
"TA+b001u","20220418","2"
"TA+b001u","20220502","2"
"TA+b001u","20220606","2"
"TA+b001u","20220801","2"
"TA+b0020","20211008","2"
"TA+b0020","20211009","2"
"TA+b0020","20211011","2"
"TA+b0020","20211012","2"
"TA+b0020","20211013","2"
"TA+b0020","20211014","2"
"TA+b0020","20211015","2"
"TA+b0020","20211016","2"
"TA+b0020","20211018","2"
"TA+b0020","20211019","2"
"TA+b0020","20211020","2"
"TA+b0020","20211021","2"
"TA+b0020","20211022","2"
"TA+b0020","20211023","2"
"TA+b0020","20211025","2"
"TA+b0020","20211026","2"
"TA+b0020","20211027","2"
"TA+b0020","20211028","2"
"TA+b0020","20211029","2"
"TA+b0020","20211030","2"
"TA+b0020","20211101","2"
"TA+b0020","20211102","2"
"TA+b0020","20211103","2"
"TA+b0020","20211104","2"
"TA+b0020","20211105","2"
"TA+b0020","20211106","2"
"TA+b0020","20211108","2"
"TA+b0020","20211109","2"
"TA+b0020","20211110","2"
"TA+b0020","20211111","2"
"TA+b0020","20211112","2"
"TA+b0020","20211113","2"
"TA+b0020","20211115","2"
"TA+b0020","20211116","2"
"TA+b0020","20211117","2"
"TA+b0020","20211118","2"
"TA+b0020","20211119","2"
"TA+b0020","20211120","2"
"TA+b0020","20211122","2"
"TA+b0020","20211123","2"
"TA+b0020","20211124","2"
"TA+b0020","20211125","2"
"TA+b0020","20211126","2"
"TA+b0020","20211127","2"
"TA+b0020","20211129","2"
"TA+b0020","20211130","2"
"TA+b0020","20211201","2"
"TA+b0020","20211202","2"
"TA+b0020","20211203","2"
"TA+b0020","20211204","2"
"TA+b0020","20211206","2"
"TA+b0020","20211207","2"
"TA+b0020","20211208","2"
"TA+b0020","20211209","2"
"TA+b0020","20211210","2"
"TA+b0020","20211211","2"
"TA+b0020","20211213","2"
"TA+b0020","20211214","2"
"TA+b0020","20211215","2"
"TA+b0020","20211216","2"
"TA+b0020","20211224","2"
"TA+b0020","20211225","2"
"TA+b0020","20211227","2"
"TA+b0020","20211231","2"
"TA+b0020","20220101","2"
"TA+b0020","20220103","2"
"TA+b0020","20220317","2"
"TA+b0020","20220418","2"
"TA+b0020","20220502","2"
"TA+b0020","20220606","2"
"TA+b0020","20220801","2"
"TA+b0021","20211008","2"
"TA+b0021","20211009","2"
"TA+b0021","20211011","2"
"TA+b0021","20211012","2"
"TA+b0021","20211013","2"
"TA+b0021","20211014","2"
"TA+b0021","20211015","2"
"TA+b0021","20211016","2"
"TA+b0021","20211018","2"
"TA+b0021","20211019","2"
"TA+b0021","20211020","2"
"TA+b0021","20211021","2"
"TA+b0021","20211022","2"
"TA+b0021","20211023","2"
"TA+b0021","20211025","2"
"TA+b0021","20211026","2"
"TA+b0021","20211027","2"
"TA+b0021","20211028","2"
"TA+b0021","20211029","2"
"TA+b0021","20211030","2"
"TA+b0021","20211101","2"
"TA+b0021","20211102","2"
"TA+b0021","20211103","2"
"TA+b0021","20211104","2"
"TA+b0021","20211105","2"
"TA+b0021","20211106","2"
"TA+b0021","20211108","2"
"TA+b0021","20211109","2"
"TA+b0021","20211110","2"
"TA+b0021","20211111","2"
"TA+b0021","20211112","2"
"TA+b0021","20211113","2"
"TA+b0021","20211115","2"
"TA+b0021","20211116","2"
"TA+b0021","20211117","2"
"TA+b0021","20211118","2"
"TA+b0021","20211119","2"
"TA+b0021","20211120","2"
"TA+b0021","20211122","2"
"TA+b0021","20211123","2"
"TA+b0021","20211124","2"
"TA+b0021","20211125","2"
"TA+b0021","20211126","2"
"TA+b0021","20211127","2"
"TA+b0021","20211129","2"
"TA+b0021","20211130","2"
"TA+b0021","20211201","2"
"TA+b0021","20211202","2"
"TA+b0021","20211203","2"
"TA+b0021","20211204","2"
"TA+b0021","20211206","2"
"TA+b0021","20211207","2"
"TA+b0021","20211208","2"
"TA+b0021","20211209","2"
"TA+b0021","20211210","2"
"TA+b0021","20211211","2"
"TA+b0021","20211213","2"
"TA+b0021","20211214","2"
"TA+b0021","20211215","2"
"TA+b0021","20211216","2"
"TA+b0021","20211224","2"
"TA+b0021","20211225","2"
"TA+b0021","20211231","2"
"TA+b0024","20211009","2"
"TA+b0024","20211016","2"
"TA+b0024","20211023","2"
"TA+b0024","20211030","2"
"TA+b0024","20211106","2"
"TA+b0024","20211113","2"
"TA+b0024","20211120","2"
"TA+b0024","20211127","2"
"TA+b0024","20211204","2"
"TA+b0024","20211211","2"
"TA+b0024","20211218","2"
"TA+b0024","20211225","2"
"TA+b0024","20220101","2"
"TA+b0024","20220108","2"
"TA+b0024","20220115","2"
"TA+b0024","20220122","2"
"TA+b0024","20220129","2"
"TA+b0024","20220205","2"
"TA+b0024","20220212","2"
"TA+b0024","20220219","2"
"TA+b0024","20220226","2"
"TA+b0024","20220305","2"
"TA+b0024","20220312","2"
"TA+b0024","20220319","2"
"TA+b0024","20220326","2"
"TA+b0024","20220402","2"
"TA+b0024","20220416","2"
"TA+b0024","20220423","2"
"TA+b0024","20220430","2"
"TA+b0024","20220507","2"
"TA+b0024","20220514","2"
"TA+b0024","20220521","2"
"TA+b0024","20220528","2"
"TA+b0024","20220604","2"
"TA+b0024","20220611","2"
"TA+b0024","20220618","2"
"TA+b0024","20220625","2"
"TA+b0024","20220702","2"
"TA+b0024","20220709","2"
"TA+b0024","20220716","2"
"TA+b0024","20220723","2"
"TA+b0024","20220730","2"
"TA+b0024","20220806","2"
"TA+b0024","20220813","2"
"TA+b0024","20220820","2"
"TA+b0024","20220827","2"
"TA+b0024","20220903","2"
"TA+b0024","20220910","2"
"TA+b0024","20220917","2"
"TA+b0024","20220924","2"
"TA+b0024","20221001","2"
"TA+b0025","20211008","2"
"TA+b0025","20211015","2"
"TA+b0025","20211022","2"
"TA+b0025","20211029","2"
"TA+b0025","20211105","2"
"TA+b0025","20211112","2"
"TA+b0025","20211119","2"
"TA+b0025","20211126","2"
"TA+b0025","20211203","2"
"TA+b0025","20211210","2"
"TA+b0025","20211217","2"
"TA+b0025","20211231","2"
"TA+b0025","20220107","2"
"TA+b0025","20220114","2"
"TA+b0025","20220121","2"
"TA+b0025","20220128","2"
"TA+b0025","20220204","2"
"TA+b0025","20220211","2"
"TA+b0025","20220218","2"
"TA+b0025","20220225","2"
"TA+b0025","20220304","2"
"TA+b0025","20220311","2"
"TA+b0025","20220318","2"
"TA+b0025","20220325","2"
"TA+b0025","20220401","2"
"TA+b0025","20220408","2"
"TA+b0025","20220415","2"
"TA+b0025","20220422","2"
"TA+b0025","20220429","2"
"TA+b0025","20220506","2"
"TA+b0025","20220513","2"
"TA+b0025","20220520","2"
"TA+b0025","20220527","2"
"TA+b0025","20220603","2"
"TA+b0025","20220610","2"
"TA+b0025","20220617","2"
"TA+b0025","20220624","2"
"TA+b0025","20220701","2"
"TA+b0025","20220708","2"
"TA+b0025","20220715","2"
"TA+b0025","20220722","2"
"TA+b0025","20220729","2"
"TA+b0025","20220805","2"
"TA+b0025","20220812","2"
"TA+b0025","20220819","2"
"TA+b0025","20220826","2"
"TA+b0025","20220902","2"
"TA+b0025","20220909","2"
"TA+b0025","20220916","2"
"TA+b0025","20220923","2"
"TA+b0025","20220930","2"
"TA+b0026","20211011","2"
"TA+b0026","20211018","2"
"TA+b0026","20211025","2"
"TA+b0026","20211101","2"
"TA+b0026","20211108","2"
"TA+b0026","20211115","2"
"TA+b0026","20211122","2"
"TA+b0026","20211129","2"
"TA+b0026","20211206","2"
"TA+b0026","20211213","2"
"TA+b0026","20211220","2"
"TA+b0026","20220103","2"
"TA+b0026","20220110","2"
"TA+b0026","20220117","2"
"TA+b0026","20220124","2"
"TA+b0026","20220131","2"
"TA+b0026","20220207","2"
"TA+b0026","20220214","2"
"TA+b0026","20220221","2"
"TA+b0026","20220228","2"
"TA+b0026","20220307","2"
"TA+b0026","20220314","2"
"TA+b0026","20220321","2"
"TA+b0026","20220328","2"
